Id	SRR3033158	SRR3033159	SRR3033160	SRR3033164	SRR3033165	SRR3033166	SRR3033161	SRR3033162	SRR3033163	SRR3033167	SRR3033168	norm.SRR3033158	norm.SRR3033159	norm.SRR3033160	norm.SRR3033164	norm.SRR3033165	norm.SRR3033166	norm.SRR3033161	norm.SRR3033162	norm.SRR3033163	norm.SRR3033167	norm.SRR3033168	baseMean	WT	codY	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LMRG_RS03420	1215	1077	1227	3521	2722	2731	680	832	775	1028	1493	1563	1398	1935	2616	1799	1992	848	1034	1113	672	1026	1454.03	1884	939	0.498	-1.007	-5.051	4.40320131089154e-07	2.18306086045254e-05	0.0431	0.1974	0.0512	0.0512	TRUE	0.2874
LMRG_RS03415	2212	1845	2087	6074	5340	4906	1188	1580	1254	2124	3013	2846	2395	3291	4512	3529	3578	1481	1963	1801	1388	2070	2623.1	3358	1741	0.518	-0.949	-5.033	4.82028697099041e-07	2.34864327241705e-05	0.0381	0.1971	0.0461	0.0461	TRUE	0.1789
LMRG_RS11410	10306	9458	4083	1779	987	1075	424	335	250	622	864	13260	12278	6438	1322	652	784	529	416	359	406	594	3367.01	5789	461	0.08	-3.651	-4.975	6.52711192659151e-07	3.0742697174246e-05	0.7838	0.1969	0.7044	0.7044	TRUE	0.0462
LMRG_RS02070	564	434	400	642	652	406	196	205	173	327	357	726	563	631	477	431	296	244	255	248	214	245	393.64	521	241	0.464	-1.107	-4.964	6.90682535386075e-07	3.199784991805e-05	0.0534	0.1998	0.0619	0.0619	TRUE	0.1207
LMRG_RS11415	10639	9273	3640	1314	837	747	353	301	235	453	716	13688	12037	5739	976	553	545	440	374	337	296	492	3225.34	5590	388	0.069	-3.849	-4.897	9.74088381934439e-07	4.30120901147926e-05	0.9063	0.197	0.808	0.808	TRUE	0.0545
LMRG_RS02370	108	83	46	111	186	101	34	37	32	62	79	139	108	73	82	123	74	42	46	46	41	54	75.22	100	46	0.461	-1.118	-4.86	1.17662257614237e-06	5.07405210316257e-05	0.0404	0.2134	0.0525	0.0525	TRUE	0.1074
LMRG_RS10565	8826	6433	1067	202	163	162	120	97	89	180	139	11356	8351	1682	150	108	118	150	121	128	118	96	2034.17	3628	123	0.034	-4.892	-4.786	1.69939297275704e-06	7.06247726619324e-05	1.5668	0.1972	1.3639	1.3639	TRUE	0.0944
LMRG_RS03425	1298	1121	1260	3042	2116	2147	672	840	706	732	1062	1670	1455	1987	2260	1398	1566	838	1044	1014	478	730	1312.66	1723	821	0.476	-1.072	-4.687	2.77645816781167e-06	0.000106313582422933	0.0551	0.1975	0.0675	0.0675	TRUE	0.4393
LMRG_RS11420	5025	4188	2124	971	596	596	252	279	189	334	498	6465	5436	3349	721	394	435	314	347	271	218	342	1663.03	2800	298	0.107	-3.23	-4.64	3.48300795370932e-06	0.00012951290101556	0.6994	0.1973	0.6327	0.6327	TRUE	0.06
LMRG_RS04615	78	41	18	210	123	84	8	10	16	26	45	100	53	28	156	81	61	10	12	23	17	31	52.16	80	19	0.234	-2.094	-4.622	3.80515692059519e-06	0.000138094898363083	0.2348	0.2208	0.2332	0.2332	TRUE	0.1906
LMRG_RS04620	154	110	55	373	212	137	30	19	40	112	78	198	143	87	277	140	100	37	24	57	73	54	108.18	158	49	0.313	-1.675	-4.483	7.36369909292825e-06	0.000256911279464386	0.1629	0.2083	0.1685	0.1685	TRUE	0.2146
LMRG_RS03540	6354	6322	5236	12731	11160	10597	5122	4708	4235	7983	10153	8175	8207	8256	9458	7375	7730	6385	5849	6082	5216	6976	7246.15	8200	6102	0.744	-0.426	-4.252	2.1215474750443e-05	0.000658845402689582	0.009	0.1967	0.013	0.013	TRUE	0.0826
LMRG_RS01420	4107	3949	1735	8393	7914	3214	1566	1570	1249	2681	3745	5284	5126	2736	6235	5230	2344	1952	1950	1794	1752	2573	3361.5	4492	2004	0.446	-1.164	-4.222	2.42054692857857e-05	0.000743528871756852	0.0919	0.1969	0.0993	0.0993	TRUE	0.095
LMRG_RS12965	2572	2471	1941	4591	5406	4107	1956	1889	1714	4102	4195	3309	3208	3061	3411	3573	2996	2438	2347	2461	2680	2882	2942.29	3260	2562	0.786	-0.347	-4.207	2.58981813980393e-05	0.00078697054441784	0.0052	0.197	0.0085	0.0085	TRUE	0.0611
LMRG_RS08865	4905	4656	3814	8487	11046	7379	3401	3135	2932	6255	8029	6311	6044	6014	6305	7300	5382	4240	3895	4210	4087	5516	5391.28	6226	4390	0.705	-0.504	-4.153	3.27886797796362e-05	0.000945518459767878	0.015	0.1968	0.0191	0.0191	TRUE	0.2574
LMRG_RS00855	272	271	315	471	470	338	185	190	125	265	286	350	352	497	350	311	247	231	236	180	173	196	283.75	351	203	0.58	-0.786	-4.144	3.42033504553763e-05	0.000966944911371458	0.0348	0.201	0.043	0.043	TRUE	0.347
LMRG_RS01585	199	174	171	182	245	136	69	79	56	113	134	256	226	270	135	162	99	86	98	80	74	92	143.48	191	86	0.452	-1.145	-4.119	3.80306413765465e-05	0.0010434426459235	0.083	0.2054	0.0921	0.0921	TRUE	0.09
LMRG_RS03090	101	88	90	168	181	176	65	71	60	140	144	130	114	142	125	120	128	81	88	86	91	99	109.52	126	89	0.715	-0.484	-4.063	4.84312430299328e-05	0.00130019193597792	0	0.2081	0.009	0.009	TRUE	0.0432
LMRG_RS04610	416	308	126	1168	990	475	106	121	81	191	430	535	400	199	868	654	346	132	150	116	125	295	347.38	500	164	0.328	-1.609	-4.061	4.87686996509763e-05	0.00130019193597792	0.2013	0.2002	0.2013	0.2013	TRUE	0.1928
LMRG_RS13215	259	172	42	318	255	257	55	53	51	113	149	333	223	66	236	169	187	69	66	73	74	102	145.35	202	77	0.38	-1.396	-4.049	5.14480003030383e-05	0.00134622267459617	0.1401	0.2053	0.1461	0.1461	TRUE	0.124
LMRG_RS07545	466	320	318	7313	14591	5091	299	318	249	506	939	600	415	501	5433	9643	3713	373	395	358	331	645	2036.92	3384	420	0.124	-3.01	-4.011	6.03790467526959e-05	0.0015499882137887	0.8212	0.1972	0.7361	0.7361	TRUE	0.1748
LMRG_RS00845	710	635	517	969	1082	1053	514	495	376	987	882	913	824	815	720	715	768	641	615	540	645	606	709.32	792	609	0.772	-0.374	-3.988	6.67510909014189e-05	0.00166936799015407	0.0053	0.1984	0.01	0.01	TRUE	0.067
LMRG_RS13895	118	128	113	270	265	230	112	80	93	194	157	152	166	178	201	175	168	140	99	134	127	108	149.71	173	122	0.696	-0.523	-3.98	6.88790548087948e-05	0.0016926279033883	0.0057	0.205	0.0154	0.0154	TRUE	0.0886
LMRG_RS07950	333	313	307	688	783	528	128	161	195	466	489	428	406	484	511	517	385	160	200	280	305	336	364.78	455	256	0.564	-0.826	-3.974	7.06029791826223e-05	0.00172003464801802	0.0443	0.2	0.0534	0.0534	TRUE	0.4061
LMRG_RS00780	3090	3304	2296	4336	4322	4115	2126	1845	1674	3678	3785	3976	4289	3620	3221	2856	3002	2650	2292	2404	2403	2601	3028.53	3494	2470	0.707	-0.499	-3.889	0.000100798545921201	0.00233489090797798	0.0158	0.197	0.0212	0.0212	TRUE	0.1378
LMRG_RS09875	3590	3530	3060	2608	2947	2250	1104	1059	1010	1693	1999	4619	4582	4825	1937	1948	1641	1376	1316	1450	1106	1373	2379.48	3259	1324	0.406	-1.299	-3.871	0.00010854647950283	0.00247380928286288	0.1307	0.1971	0.1469	0.1469	TRUE	0.0464
LMRG_RS07910	412	189	73	45	20	31	12	9	7	33	44	530	245	115	33	13	23	15	11	10	22	30	95.25	160	18	0.111	-3.171	-3.816	0.000135546860058851	0.00296942191105669	0.9776	0.2098	0.8696	0.8696	TRUE	0.3157
LMRG_RS11340	36	29	13	51	41	47	9	8	4	30	29	46	38	20	38	27	34	11	10	6	20	20	24.56	34	13	0.414	-1.274	-3.809	0.000139599697853412	0.00303468266256724	0.0672	0.248	0.0938	0.0938	TRUE	0.1908
LMRG_RS07550	195	113	87	2272	5524	1635	117	142	98	214	310	251	147	137	1688	3651	1193	146	176	141	140	213	716.5	1178	163	0.139	-2.852	-3.77	0.000163132877548862	0.00344039934293346	0.8327	0.1983	0.7458	0.7458	TRUE	0.2928
LMRG_RS04845	3135	2743	2152	4809	5020	4459	1974	2021	1805	4474	4578	4034	3561	3393	3573	3317	3252	2461	2511	2592	2924	3145	3160.21	3522	2727	0.775	-0.368	-3.762	0.000168250290764215	0.00351995422064842	0.0084	0.197	0.0122	0.0122	TRUE	0.092
LMRG_RS09870	3532	3441	2959	2466	2735	2064	1108	1101	983	1534	1708	4544	4467	4666	1832	1807	1505	1381	1368	1412	1002	1173	2287.11	3137	1267	0.404	-1.307	-3.698	0.000217073477636453	0.00435070672199018	0.1458	0.1971	0.1632	0.1632	TRUE	0.047
LMRG_RS12815	2307	2084	2007	4009	4266	4107	1855	1996	1802	4081	3500	2968	2705	3165	2978	2819	2996	2312	2480	2588	2667	2405	2734.76	2938	2490	0.848	-0.238	-3.698	0.000217071415258061	0.00435070672199018	0.0026	0.197	0.005	0.005	TRUE	0.0202
LMRG_RS04890	9434	11479	7045	12420	14614	8815	4516	4341	5417	5083	4536	12138	14901	11108	9227	9658	6430	5630	5393	7779	3321	3116	8063.71	10577	5048	0.477	-1.067	-3.632	0.00028088196303962	0.00555085613671305	0.1046	0.1967	0.113	0.113	TRUE	0.292
LMRG_RS07915	278	179	102	69	29	52	13	13	14	64	48	358	232	161	51	19	38	16	16	20	42	33	89.68	143	25	0.18	-2.478	-3.63	0.000283687259060502	0.00556736245906235	0.6419	0.2107	0.585	0.585	TRUE	0.1361
LMRG_RS03525	3134	2705	2741	6220	4846	5174	2224	2300	2016	3378	4678	4032	3511	4322	4621	3202	3774	2772	2857	2895	2207	3214	3400.81	3910	2789	0.713	-0.488	-3.595	0.00032466439068756	0.00624150726587105	0.0172	0.1969	0.0238	0.0238	TRUE	0.1703
